Sniffer started on wlp2s0
Socket FD: 4
Sniffer started on wlp2s0. Press Ctrl+C to stop.
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=98 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=66 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=98 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=98 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=125 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=98 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=125 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=156 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=98 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=158 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=105 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=125 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=98 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=105 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=125 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=66 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=125 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=98 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=86 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
[DEBUG] RAW PACKET: Size=1374 | Byte0=0xBE | Byte1=0xAA | Byte2=0x2B
[DEBUG] RAW PACKET: Size=98 | Byte0=0x70 | Byte1=0x08 | Byte2=0x94
